,QRef,Mean,Min,Max,Count,Avg
4036,306ARTQ7,0.6996587030716723,0,1,293,0.6996587030716723
4037,306ARTQ8,0.9249146757679181,0,1,293,0.9249146757679181
4038,306ARTQ9,0.9453924914675768,0,1,293,0.9453924914675768
4039,306FILQ1,0.7945205479452054,0,1,365,0.7945205479452054
4040,306FILQ10,0.6530612244897959,0,1,245,0.6530612244897959
4041,306FILQ2,0.25901639344262295,0,2,305,0.12950819672131147
4042,306FILQ3,0.6360655737704918,0,1,305,0.6360655737704918
4043,306FILQ4,0.5868852459016394,0,1,305,0.5868852459016394
4044,306FILQ5,0.25573770491803277,0,1,305,0.25573770491803277
4045,306FILQ6,0.28852459016393445,0,1,305,0.28852459016393445
4046,306FILQ7,0.4786885245901639,0,1,305,0.4786885245901639
4047,306FILQ8,0.8819672131147541,0,2,305,0.44098360655737706
4048,306FILQ9,0.6852459016393443,0,1,305,0.6852459016393443
4049,306FOOQ1,0.6517150395778364,0,1,379,0.6517150395778364
4050,306FOOQ10,0.6537102473498233,0,1,283,0.6537102473498233
4051,306FOOQ2,0.1691842900302115,0,1,331,0.1691842900302115
4052,306FOOQ3,0.8489425981873112,0,1,331,0.8489425981873112
4053,306FOOQ4,0.32326283987915405,0,1,331,0.32326283987915405
4054,306FOOQ5,0.8610271903323263,0,1,331,0.8610271903323263
4055,306FOOQ6,0.3564954682779456,0,1,331,0.3564954682779456
4056,306FOOQ7,0.19939577039274925,0,1,331,0.19939577039274925
4057,306FOOQ8,0.2537764350453172,0,1,331,0.2537764350453172
4058,306FOOQ9,0.5981873111782477,0,1,331,0.5981873111782477
4059,306GRAQ1,0.8685015290519877,0,1,327,0.8685015290519877
4060,306GRAQ10,0.7182539682539683,0,1,252,0.7182539682539683
4061,306GRAQ2,0.6586206896551724,0,1,290,0.6586206896551724
4062,306GRAQ3,1.1689655172413793,0,2,290,0.5844827586206897
4063,306GRAQ4,0.8724137931034482,0,2,290,0.4362068965517241
4064,306GRAQ5,0.4241379310344828,0,1,290,0.4241379310344828
4065,306GRAQ6,0.5137931034482759,0,1,290,0.5137931034482759
4066,306GRAQ7,0.7172413793103448,0,1,290,0.7172413793103448
4067,306GRAQ8,1.4,0,2,290,0.7
4068,306GRAQ9,0.8551724137931035,0,1,290,0.8551724137931035
4069,306MUSQ1,0.6039603960396039,0,1,303,0.6039603960396039
4070,306MUSQ10,0.8277511961722488,0,1,209,0.8277511961722488
4071,306MUSQ2,0.625,0,1,256,0.625
4072,306MUSQ3,0.64453125,0,1,256,0.64453125
4073,306MUSQ4,0.92578125,0,1,256,0.92578125
4074,306MUSQ5,0.89453125,0,1,256,0.89453125
4075,306MUSQ6,0.62890625,0,1,256,0.62890625
4076,306MUSQ7,0.79296875,0,1,256,0.79296875
4077,306MUSQ8,0.95703125,0,1,256,0.95703125
4078,306MUSQ9,0.4765625,0,1,256,0.4765625
4079,307FILQ1,0.8812785388127854,0,1,438,0.8812785388127854
4080,307FILQ10,0.6525974025974026,0,1,308,0.6525974025974026
4081,307FILQ2,0.4691689008042895,0,1,373,0.4691689008042895
4082,307FILQ3,0.478494623655914,0,1,372,0.478494623655914
4083,307FILQ4,0.6541554959785523,0,1,373,0.6541554959785523
4084,307FILQ5,0.5,0,1,372,0.5
4085,307FILQ6,1.418230563002681,0,2,373,0.7091152815013405
4086,307FILQ7,0.9168900804289544,0,1,373,0.9168900804289544
4087,307FILQ8,1.1635388739946382,0,2,373,0.5817694369973191
4088,307FILQ9,0.7613941018766756,0,1,373,0.7613941018766756
4089,307GEOQ1,0.6024096385542169,0,1,415,0.6024096385542169
4090,307GEOQ10,0.8589341692789969,0,1,319,0.8589341692789969
4091,307GEOQ2,1.5122615803814714,0,2,367,0.7561307901907357
4092,307GEOQ3,0.5340599455040872,0,1,367,0.5340599455040872
4093,307GEOQ4,0.7166212534059946,0,1,367,0.7166212534059946
4094,307GEOQ5,0.6321525885558583,0,1,367,0.6321525885558583
4095,307GEOQ6,0.3978201634877384,0,1,367,0.3978201634877384
4096,307GEOQ7,0.4196185286103542,0,1,367,0.4196185286103542
4097,307GEOQ8,0.8937329700272479,0,2,367,0.44686648501362397
4098,307GEOQ9,0.6348773841961853,0,1,367,0.6348773841961853
4099,307GRAQ1,0.5445783132530121,0,1,415,0.5445783132530121
4100,307GRAQ10,0.3664383561643836,0,1,292,0.3664383561643836
4101,307GRAQ2,0.830028328611898,0,1,353,0.830028328611898
4102,307GRAQ3,0.623229461756374,0,1,353,0.623229461756374
4103,307GRAQ4,0.8186968838526912,0,1,353,0.8186968838526912
4104,307GRAQ5,0.6798866855524079,0,1,353,0.6798866855524079
4105,307GRAQ6,0.6203966005665722,0,1,353,0.6203966005665722
4106,307GRAQ7,0.7648725212464589,0,1,353,0.7648725212464589
4107,307GRAQ8,0.32011331444759206,0,1,353,0.32011331444759206
4108,307GRAQ9,0.23796033994334279,0,1,353,0.23796033994334279
4109,307MUSQ1,0.909952606635071,0,1,211,0.909952606635071
4110,307MUSQ10,0.852760736196319,0,1,163,0.852760736196319
4111,307MUSQ2,0.48128342245989303,0,1,187,0.48128342245989303
4112,307MUSQ3,1.2352941176470589,0,2,187,0.6176470588235294
4113,307MUSQ4,0.5721925133689839,0,1,187,0.5721925133689839
4114,307MUSQ5,0.9411764705882353,0,1,187,0.9411764705882353
4115,307MUSQ6,0.31016042780748665,0,1,187,0.31016042780748665
4116,307MUSQ7,0.7272727272727273,0,1,187,0.7272727272727273
4117,307MUSQ8,0.6417112299465241,0,1,187,0.6417112299465241
